40,-90.91430478607052,-90.91430478607052,-90.91430478607052,-90.91430478607052,-90.91430478607052,-90.91430478607052,-90.91430478607052,-90.91430478607052,-91.05191341914463,-91.05191341914463,-92.35199064714999,-92.63132151150222,-92.63132151150222,-92.63132151150222,-92.63132151150222,-92.63132151150222,-92.3550950925899,-92.3550950925899,-91.47093552293926,-91.47093552293926
80,-96.22838167705258,-96.22838167705258,-96.22838167705258,-96.22838167705258,-96.68427606868842,-97.25418167155952,-97.25418167155952,-97.73762436135128,-97.73762436135128,-97.55728251861052,-99.12137939685896,-99.12137939685896,-99.46886723606897,-99.46886723606897,-99.54166721927326,-99.54166721927326,-99.54166721927326,-99.46886723606897,-99.46886723606897,-99.46886723606897
120,-96.54848620285848,-96.54848620285848,-97.58150083735023,-98.42240937000544,-99.72571303001178,-99.36323644052759,-100.87664085986647,-101.1115232120628,-101.1115232120628,-100.6944482678786,-100.6944482678786,-101.60153788060703,-101.60153788060703,-101.60153788060703,-101.60443468680135,-101.60153788060703,-102.39824248926864,-102.39824248926864,-102.26600413709883,-102.26600413709883
160,-98.3737735438024,-98.3737735438024,-100.38833706997004,-100.6559379701134,-100.84121904480773,-101.02401321356508,-100.8854627536907,-100.8854627536907,-101.64913662198902,-102.10245334308568,-102.60855865505559,-102.60855865505559,-102.60855865505559,-102.60855865505559,-102.60855865505559,-102.60855865505559,-102.60855865505559,-102.82094019545335,-102.8751955707692,-102.8751955707692
200,-97.88559563143816,-100.79396831061797,-103.0512917932594,-104.84669664919497,-104.97549506000026,-104.97549506000026,-104.97549506000026,-104.97549506000026,-104.97549506000026,-104.96045795855214,-105.91838768991123,-105.91838768991123,-105.91838768991123,-105.91838768991123,-105.91838768991123,-105.91838768991123,-105.91838768991123,-106.11220447749878,-106.11220447749878,-106.11220447749878
240,-99.02469601016766,-101.68535714287025,-104.09690158423314,-104.84035739908553,-105.53456663360798,-107.63662228558655,-107.92661092231167,-107.96112623247248,-108.56492268330042,-108.56492268330042,-108.56492268330042,-108.56492268330042,-108.56492268330042,-108.56492268330042,-108.56492268330042,-108.56492268330042,-108.56492268330042,-108.56492268330042,-108.56492268330042,-108.56492268330042
280,-98.79003808529966,-102.62100314854735,-106.04651515801564,-106.7649344398392,-107.28751019365392,-107.27102116582401,-107.27102116582401,-107.27102116582401,-107.27102116582401,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727
320,-98.16476254426634,-102.21212874459327,-106.43061735539948,-106.9125800543394,-107.905054777491,-107.905054777491,-108.01341451975932,-108.01341451975932,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727,-108.61721097058727
360,-99.12258240262625,-103.91808327057437,-106.52786537328379,-107.905054777491,-108.06091781785082,-108.06091781785082,-108.06091781785082,-108.06091781785082,-108.11198735933802,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325
400,-99.78390577768197,-101.37357319808163,-107.1023733644384,-107.61224498510481,-108.06091781785082,-108.06091781785082,-108.06091781785082,-108.06091781785082,-108.11198735933802,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325,-109.09752380881325
